City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,savanna-la-mar,18.219,-78.1332,23.85,86,95,1.66,JM,1683974172
330,kolpashevo,58.3131,82.9089,6.68,26,4,3.08,RU,1683974174
331,lazaro cardenas,17.9583,-102.2,25.59,76,96,1.32,MX,1683974175
332,brandon,27.9378,-82.2859,23.92,84,0,0.89,US,1683974176
333,st. john's,47.5649,-52.7093,7.86,50,20,2.57,CA,1683973891
334,atlantis,-33.5667,18.4834,17.86,52,0,7.19,ZA,1683974178
335,akobo,7.4344,3.9497,31.75,62,40,2.57,NG,1683974180
336,arteche,12.2645,125.4048,26.26,80,95,2.14,PH,1683974181
337,turbat,26.0023,63.044,41.56,11,0,4.84,PK,1683974182
338,khorixas,-20.3667,14.9667,30.1,19,63,1.02,NA,1683974183
339,akjoujt,19.6969,-14.4164,38.64,11,38,7.45,MR,1683974184
340,jinshi,29.6049,111.8701,24.23,71,100,2.99,CN,1683974185
341,flying fish cove,-10.4217,105.6791,26.82,83,75,6.69,CX,1683974187
342,izhevsk,56.85,53.2333,20.07,37,84,0.45,RU,1683973978
343,kayangel,8.0823,134.7173,29.07,72,14,4.57,PW,1683974189
344,kapuskasing,49.4169,-82.4331,2.05,87,20,3.6,CA,1683973891
345,kenora,49.8167,-94.4337,13.54,44,75,4.63,CA,1683974191
346,pionerskiy,54.9508,20.2275,20.91,67,32,5.03,RU,1683974193
347,yeosu,34.7546,127.6599,15.09,90,25,1.92,KR,1683974194
348,el burgo de osma,41.5862,-3.0652,15.43,37,41,1.5,ES,1683974195
349,brooks,50.5834,-111.8851,8.35,89,3,0.51,CA,1683973801
350,lensk,60.7253,114.9278,4.32,96,100,2.73,RU,1683974197
351,rohrdorf,47.7971,12.1701,14.01,74,99,1.92,DE,1683974198
352,vila velha,-20.3297,-40.2925,22.19,81,0,1.54,BR,1683974199
353,puerto baquerizo moreno,-0.9,-89.6,25.41,87,37,4.91,EC,1683974201
354,as sulayyil,20.4607,45.5779,40.14,9,0,3.86,SA,1683974202
355,montepuez,-13.1256,38.9997,28.89,45,25,1.57,MZ,1683974203
356,berezovyy,51.6667,135.7,15.62,57,94,2.6,RU,1683974204
357,aykhal,66.0,111.5,-3.77,92,100,6.03,RU,1683974205
358,carauari,-4.8828,-66.8958,22.16,99,40,0.96,BR,1683974206
359,eyl,7.9803,49.8164,33.57,52,33,6.95,SO,1683974207
360,aldan,58.6031,125.3894,0.21,97,90,1.86,RU,1683974209
361,oriximina,-1.7656,-55.8661,24.12,95,99,0.69,BR,1683974210
362,ocean city,39.2776,-74.5746,19.1,91,100,0.89,US,1683974211
363,saint-pierre,-21.3393,55.4781,28.82,61,75,6.17,RE,1683974212
364,klyuchi,52.2667,79.1667,17.87,22,54,5.0,RU,1683974213
365,dukku,10.8231,10.7717,37.72,17,98,1.56,NG,1683974214
366,queenstown,-31.8976,26.8753,9.56,94,100,3.24,ZA,1683974020
367,hai duong,20.9333,106.3167,22.0,76,100,3.83,VN,1683974217
368,svetlyy,54.675,20.1347,21.03,48,16,4.51,RU,1683974218
369,okha,53.5739,142.9478,9.01,71,57,5.26,RU,1683974219
370,monteagudo,-19.8167,-63.9833,11.73,95,100,1.16,BO,1683974220
